DynamicsColumnName,CleanedColumnName
aadcreatedbyid,AAD Created By ID
aadlastmodifiedbyid,AAD Last Modified By ID
aadlastpublishedbyid,AAD Last Published By ID
abstract,Abstract
accessmode,Access Mode
accessright,Access Right
accessrightsmask,Access Rights Mask
accountcategorycode,Account Category Code
accountclassificationcode,Account Classification Code
accountid,Account ID
accountid_entitytype,Account ID Entity Type
accountidname,Account ID Name
accountidyominame,Account ID Yomi Name
accountleadid,Account Lead ID
accountnumber,Account Number
accountratingcode,Account Rating Code
accountrolecode,Account Role Code
aciwebendpointurl,ACI Web End Point URL
acknowledgementtemplateid,Acknowledgement Template ID
acknowledgementtemplateid_entitytype,Acknowledgement Template ID Entity Type
acknowledgementtemplateidname,Acknowledgement Template ID Name
actdeliverymethod,Act Delivery Method
action,Action
actioncardid,Action Card ID
actiondata,Action Data
activedirectoryguid,Active Directory Guid
activeon,Active On Date
activestageid,Active Stage ID
activestageid_entitytype,Active Stage ID Entity Type
activestageidname,Active Stage ID Name
activestagestartedon,Active Stage Started On Date
activeworkflowid,Active Workflow ID
activeworkflowid_entitytype,Active Workflow ID Entity Type
activeworkflowidname,Active Workflow ID Name
activitiescomplete,Activities Complete
activityadditionalparams,Activity Addition Alparams
activityid,Activity ID
activityid_entitytype,Activity ID Entity Type
activitymimeattachmentid,Activity Mime Attachment ID
activitymimeattachmentidunique,Activity Mime Attachment ID Unique
activitypartyid,Activity Party ID
activitysubject,Activity Subject
activitytypecode,Activity Type Code
actstatus,Act Status
actualclosedate,Actual Close Date
actualcost,Actual Cost
actualcost_base,Actual Cost Base
actualdecimal,Actual Decimal
actualdeliveryon,Actual Delivery On Date
actualdurationminutes,Actual Duration Minutes
actualend,Actual End
actualinteger,Actual Integer
actualmoney,Actual Money
actualmoney_base,Actual Money Base
actualserviceunits,Actual Service Units
actualstart,Actual Start
actualstring,Actual String
actualvalue,Actual Value
actualvalue_base,Actual Value Base
address,Address
address_city,Address City
address_country,Address Country
address_postalcode,Address Postal Code
address_stateorprovince,Address State Or Province
address1_addressid,Address 1 Address ID
address1_addresstypecode,Address 1 Address Type Code
address1_city,Address 1 City
address1_composite,Address 1 Composite
address1_country,Address 1 Country
address1_county,Address 1 County
address1_fax,Address 1 Fax
address1_freighttermscode,Address 1 Freight Terms Code
address1_latitude,Address 1 Latitude
address1_line1,Address 1 Line 1
address1_line2,Address 1 Line 2
address1_line3,Address 1 Line 3
address1_longitude,Address 1 Longitude
address1_name,Address 1 Name
address1_postalcode,Address 1 Postal Code
address1_postofficebox,Address 1 Post Office Box
address1_primarycontactname,Address 1 Primary Contact Name
address1_shippingmethodcode,Address 1 Shipping Method Code
address1_stateorprovince,Address 1 State Or Province
address1_telephone1,Address 1 Telephone 1
address1_telephone2,Address 1 Telephone 2
address1_telephone3,Address 1 Telephone 3
address1_upszone,Address 1 UPS Zone
address1_utcoffset,Address 1 UTC Offset
address2_addressid,Address 2 Address ID
address2_addresstypecode,Address 2 Address Type Code
address2_city,Address 2 City
address2_composite,Address 2 Composite
address2_country,Address 2 Country
address2_county,Address 2 County
address2_fax,Address 2 Fax
address2_freighttermscode,Address 2 Freight Terms Code
address2_latitude,Address 2 Latitude
address2_line1,Address 2 Line 1
address2_line2,Address 2 Line 2
address2_line3,Address 2 Line 3
address2_longitude,Address 2 Longitude
address2_name,Address 2 Name
address2_postalcode,Address 2 Postal Code
address2_postofficebox,Address 2 Post Office Box
address2_primarycontactname,Address 2 Primary Contact Name
address2_shippingmethodcode,Address 2 Shipping Method Code
address2_stateorprovince,Address 2 State Or Province
address2_telephone1,Address 2 Telephone 1
address2_telephone2,Address 2 Telephone 2
address2_telephone3,Address 2 Telephone 3
address2_upszone,Address 2 UPS Zone
address2_utcoffset,Address 2 UTC Offset
address3_addressid,Address 3 Address ID
address3_addresstypecode,Address 3 Address Type Code
address3_city,Address 3 City
address3_composite,Address 3 Composite
address3_country,Address 3 Country
address3_county,Address 3 County
address3_fax,Address 3 Fax
address3_freighttermscode,Address 3 Freight Terms Code
address3_latitude,Address 3 Latitude
address3_line1,Address 3 Line 1
address3_line2,Address 3 Line 2
address3_line3,Address 3 Line 3
address3_longitude,Address 3 Longitude
address3_name,Address 3 Name
address3_postalcode,Address 3 Postal Code
address3_postofficebox,Address 3 Post Office Box
address3_primarycontactname,Address 3 Primary Contact Name
address3_shippingmethodcode,Address 3 Shipping Method Code
address3_stateorprovince,Address 3 State Or Province
address3_telephone1,Address 3 Telephone 1
address3_telephone2,Address 3 Telephone 2
address3_telephone3,Address 3 Telephone 3
address3_upszone,Address 3 UPS Zone
address3_utcoffset,Address 3 UTC Offset
addressbooksyncinterval,Address Book Sync Interval
addressnumber,Address Number
addresstypecode,Address Type Code
addressused,Addressused
addressusedemailcolumnnumber,Addressused Email Column Number
admincontrolbypassconsent,Admin Control By Pass Consent
administratorid,Administrator ID
administratorid_entitytype,Administrator ID Entity Type
administratoridname,Administrator ID Name
administratoridyominame,Administrator ID Yomi Name
adobe,Adobe
advancedfindstartupmode,Advanced Find Startup Mode
advancedgroupby,Advanced Group By
aging30,Aging 30
aging30_base,Aging 30 Base
aging60,Aging 60
aging60_base,Aging 60 Base
aging90,Aging 90
aging90_base,Aging 90 Base
alias,Alias
allocationtypecode,AI Location Type Code
allotmenttypecode,Allotment Type Code
allowaddressbooksyncs,Allow Address Booksyncs
allowautoresponsecreation,Allow Autoresponse Creation
allowautounsubscribe,Allow Auto Unsubscribe
allowautounsubscribeacknowledgement,Allow Auto Unsubscribe Acknowledgement
allowclientmessagebarad,Allow Client Message Barad
allowemailconnectortousecredentials,Allow Email Connect Ortouse Credentials
allowemailcredentials,Allow Email Credentials
allowentityonlyaudit,Allow Entity Only Audit
allowlegacyclientexperience,Allow Legacy Client Experience
allowlegacydialogsembedding,Allow Legacy Dialogs Embedding
allowmarketingemailexecution,Allow Marketing Email Execution
allowofflinescheduledsyncs,Allow Offline Scheduled Syncs
allowoutlookscheduledsyncs,Allow Outlook Scheduled Syncs
allowunresolvedpartiesonemailsend,Allow Unresolved Parties On Email Send
allowuserformmodepreference,Allow USer Form Mode Preference
allowusersseeappdownloadmessage,Allow USers See App Download Message
allowwebexcelexport,Allow Web Excel Export
amdesignator,AM Designator
amount,Amount
amount_base,Amount Base
amountdatatype,Amount Data Type
ancestorformid,Ancestor Form ID
ancestorformid_entitytype,Ancestor Form ID Entity Type
ancestorformidname,Ancestor Form ID Name
anchoroffset,Anchor Offset
anniversary,Anniversary
annotationid,Annotation ID
annualincome,Annual Income
annualincome_base,Annual Income Base
anonymouslink,Anonymous Link
anonymousvisitorid,Anonymous Visitor ID
appdesignerexperienceenabled,App Designer Experience Enabled
applicationid,Application ID
applicationiduri,Application IDuri
appmoduleid,App Module ID
appmoduleid_entitytype,App Module ID Entity Type
appmoduleidname,App Module ID Name
appmoduleidunique,App Module ID Unique
appmoduleroleid,App Module Role ID
appmoduleroleidunique,App Module Role ID Unique
appmoduleversion,App Module Version
appmodulexmlmanaged,App Module XML Managed
appointmentricheditorexperience,Appointment Rich Editor Experience
appopenuri,App Open URI
appversion,App Version
articlepublicnumber,Article Public Number
articlexml,Article XML
assistantname,Assistant Name
assistantphone,Assistant Phone
associatedconnectionroleid,Associated Connection Role ID
asyncautodelete,Async Autodelete
attacheddocumenturl,Attached Document URL
attachmentcontentid,Attachment Content ID
attachmentcount,Attachment Count
attachmenterrors,Attachment Errors
attachmentid,Attachment ID
